"filename", "language", "Papyrus Project", "HTML", "JSON", "Papyrus", "Batch", "Markdown", "comment", "blank", "total"
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_Algorithm.psc", "Papyrus", 0, 0, 0, 126, 0, 0, 56, 48, 230
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_AlgorithmBodyfatBruce.psc", "Papyrus", 0, 0, 0, 140, 0, 0, 67, 47, 254
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_AlgorithmBodyfatChange.psc", "Papyrus", 0, 0, 0, 19, 0, 0, 10, 6, 35
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_AlgorithmData.psc", "Papyrus", 0, 0, 0, 4, 0, 0, 0, 1, 5
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_AlgorithmPause.psc", "Papyrus", 0, 0, 0, 80, 0, 0, 9, 19, 108
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_AlgorithmWeightChange.psc", "Papyrus", 0, 0, 0, 102, 0, 0, 23, 25, 150
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_Anabolic.psc", "Papyrus", 0, 0, 0, 24, 0, 0, 3, 7, 34
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_Config.psc", "Papyrus", 0, 0, 0, 328, 0, 0, 27, 55, 410
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ConfigResults.psc", "Papyrus", 0, 0, 0, 2, 0, 0, 1, 1, 4
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_Globals.psc", "Papyrus", 0, 0, 0, 69, 0, 0, 2, 14, 85
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_HeightChanger.psc", "Papyrus", 0, 0, 0, 39, 0, 0, 0, 8, 47
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_Items.psc", "Papyrus", 0, 0, 0, 51, 0, 0, 0, 15, 66
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_PresetManager.psc", "Papyrus", 0, 0, 0, 48, 0, 0, 24, 14, 86
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_PresetMngrFISSES.psc", "Papyrus", 0, 0, 0, 136, 0, 0, 8, 24, 168
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_PresetMngrNone.psc", "Papyrus", 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_PresetMngrPapUtl.psc", "Papyrus", 0, 0, 0, 127, 0, 0, 7, 20, 154
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_Report.psc", "Papyrus", 0, 0, 0, 50, 0, 0, 3, 16, 69
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportArgs.psc", "Papyrus", 0, 0, 0, 20, 0, 0, 9, 5, 34
"e:\Skyrim SE\MO2\mods\Sandow-Plus-Plus-Src\scripts\source\DM_SandowPP_ReportDebug.psc", "Papyrus", 0, 0, 0, 18, 0, 0, 0, 4, 22
